 ,doc1,doc2,doc3,doc4,doc5,doc6,doc7,doc8,doc9,doc10,doc11,doc12,doc13,doc14,doc15,doc16,doc17,doc18,doc19,doc20,
doc1,0.0,0.9423547817281231,0.9089619201602379,0.968026896126206,0.9501628638335917,0.9439690222350725,0.7666145590778771,0.9727758834923497,0.9543117179615545,0.9855082671839348,0.9610499832942679,0.9846774386573238,0.9537601966662478,0.9617277201459542,0.9547515580120144,0.9653680626044382,0.9438855466977497,0.9668876026457621,0.9889373033976083,0.9585350237851955,
doc2,0.9423547817281231,0.0,0.8552913855536841,0.89008904866172,0.8546316454642992,0.8446033952521813,0.9192836991166916,0.9221126534637398,0.8959031591081866,0.9460792690511018,0.9412497765019401,0.9572377178089182,0.9400533319040376,0.8635422324451882,0.9510839369822158,0.9434114493866854,0.8678422222882209,0.9341348038380339,0.980980267548405,0.9539990960492846,
doc3,0.9089619201602379,0.8552913855536841,0.0,0.8726988751618616,0.6046602593966741,0.4959858525047447,0.8791405426310089,0.9280092107271275,0.9604862021266352,0.9266263608379937,0.9346755140364174,0.8881433299058975,0.8952786110248094,0.9385709595950958,0.8758368274957508,0.9275599641655791,0.949794611261595,0.9016362953782779,0.9765635216531406,0.9405596718562953,
doc4,0.968026896126206,0.89008904866172,0.8726988751618616,0.0,0.8570526186161679,0.867453025171572,0.9142034722092249,0.9643590882201493,0.9858044092507929,0.8354396002515803,0.8805096593174822,0.9362316388533101,0.9212710710885653,0.953490484584994,0.8320532919713532,0.9617491319127837,0.978246645550636,0.930582097180457,0.9784542984280787,0.9537459874348968,
doc5,0.9501628638335917,0.8546316454642992,0.6046602593966741,0.8570526186161679,0.0,0.696845738270121,0.9364156381185773,0.9658971749423951,0.9675138680626901,0.9198063402781315,0.9054028270975006,0.7239886078978569,0.9137488684775695,0.9445578305391372,0.8810973394926636,0.9147324628899196,0.9630205502079535,0.95261730547606,0.9746640954248426,0.8939009961956876,
doc6,0.9439690222350725,0.8446033952521813,0.4959858525047447,0.867453025171572,0.696845738270121,0.0,0.9413172623882036,0.9141112042074118,0.9622850723424183,0.9405764504960632,0.9514656412290402,0.9194861965989136,0.8183195355504713,0.9345192609739013,0.8843817124120807,0.9395404610503048,0.9525109266432792,0.9073724420854625,0.9687027407358475,0.958689467054796,
doc7,0.7666145590778771,0.9192836991166916,0.8791405426310089,0.9142034722092249,0.9364156381185773,0.9413172623882036,0.0,0.9105727334387552,0.920467114597929,0.9623622849856064,0.9260317749359119,0.9775321060245806,0.9267782505519525,0.958250212382926,0.9401843914605047,0.8792742037071959,0.9217567115917586,0.8966930525267215,0.9815938169693179,0.9493951169634492,
doc8,0.9727758834923497,0.9221126534637398,0.9280092107271275,0.9643590882201493,0.9658971749423951,0.9141112042074118,0.9105727334387552,0.0,0.9595459129780778,0.9903483269452362,0.9233714011030655,0.9859902942616744,0.9121566576893873,0.9651613117918615,0.8340607327064193,0.9788762407470246,0.965949236031849,0.9625074758754688,0.9862316676204461,0.9699009821919649,
doc9,0.9543117179615545,0.8959031591081866,0.9604862021266352,0.9858044092507929,0.9675138680626901,0.9622850723424183,0.920467114597929,0.9595459129780778,0.0,0.9909819627995986,0.956727937615523,0.9852057915530292,0.9698919106198298,0.9648851707594375,0.939513892212989,0.948906625748935,0.0740553779269737,0.9493166894815237,0.9828987598961645,0.9790152655578174,
doc10,0.9855082671839348,0.9460792690511018,0.9266263608379937,0.8354396002515803,0.9198063402781315,0.9405764504960632,0.9623622849856064,0.9903483269452362,0.9909819627995986,0.0,0.9122108683749636,0.9729119572672124,0.9653907094785816,0.9787472468320146,0.9390058870017551,0.9824090158108725,0.9883629909603725,0.9657083588446401,0.9948150240229748,0.9852962714007578,
