 ,doc1,doc2,doc3,doc4,doc5,doc6,doc7,doc8,doc9,doc10,doc11,doc12,doc13,doc14,doc15,doc16,doc17,doc18,doc19,doc20,
doc1,0.0,0.006903638586215977,0.006032204559751723,0.006285804099820581,0.005830653314916813,0.006187668656554789,0.006590055785654576,0.012530479943721437,0.010099179956944518,0.009609497875084796,0.007764351254997233,0.007816160386692698,0.006910842025307916,0.009030299715490405,0.006281373462249667,0.008215645138017917,0.008946703196842591,0.007157050522129566,0.012726190107623159,0.010224002662173883,
doc2,0.006903638586215977,0.0,0.0021424847702722267,0.002223594304365221,0.0018030356873311398,0.0021220838287536754,0.004163459621197184,0.008394491078438059,0.006041023994102839,0.005523746262754643,0.0038734940257580683,0.0038161296620611573,0.0030494225654744407,0.004756706006417941,0.0024215893643988757,0.00430395459736919,0.00485723251695357,0.0031972700127741427,0.008792616792825522,0.006456462235873746,
doc3,0.006032204559751723,0.0021424847702722267,0.0,0.0014392730462554077,7.607235953124439E-4,8.210382276319604E-4,0.0033123159003356543,0.00775131730603384,0.00564764579466223,0.004703736070847795,0.0030932694955705547,0.0028428352312093795,0.0021729291350816803,0.004391604580808904,0.0014966948220268646,0.0034966665121986956,0.004515763204507983,0.0023538910618573065,0.007978597880149558,0.005648712717984451,
doc4,0.006285804099820581,0.002223594304365221,0.0014392730462554077,0.0,0.0010418413889840298,0.0014357153955724762,0.0034197709569567967,0.007929211597370535,0.005750043802503606,0.004366148999861659,0.0029389291811054694,0.0029758678185008002,0.00223218354607684,0.0044440790412539075,0.0014217071883986729,0.0036020939859698485,0.00461717859654536,0.0024235322699260094,0.007987609187940763,0.00570239090326424,
doc5,0.005830653314916813,0.0018030356873311398,7.607235953124439E-4,0.0010418413889840298,0.0,8.681581108505809E-4,0.003103453859474768,0.007543108648691948,0.0052707859266937825,0.004326644028571425,0.0026491820410030112,0.0021878246610280063,0.0018311444518423173,0.004028205202476353,0.0011234495601984103,0.003094402112217112,0.004157806613001683,0.002065994524657197,0.007561463049631835,0.005150519337847847,
doc6,0.006187668656554789,0.0021220838287536754,8.210382276319604E-4,0.0014357153955724762,8.681581108505809E-4,0.0,0.003508489089056062,0.007687586059633485,0.005660266617974203,0.00476044521968396,0.003146426138146929,0.0029347745412448304,0.0020011831829850222,0.004382338033520894,0.001516456011863577,0.0035389028413078307,0.004530737050816871,0.0023728149290108483,0.007945431012401099,0.005728106924704769,
doc7,0.006590055785654576,0.004163459621197184,0.0033123159003356543,0.0034197709569567967,0.003103453859474768,0.003508489089056062,0.0,0.009322198315502035,0.007241479424561816,0.006749936254782662,0.004921274887909132,0.005070888580250973,0.0041345892177021785,0.006368002413041846,0.003552539959726189,0.00505984452383127,0.006208622056140177,0.004161020929344246,0.009959543526996392,0.007540523321730567,
doc8,0.012530479943721437,0.008394491078438059,0.00775131730603384,0.007929211597370535,0.007543108648691948,0.007687586059633485,0.009322198315502035,0.0,0.011775182536690973,0.01132375801037055,0.00908597129144019,0.009492099918892995,0.008269928414697189,0.010697574519054438,0.007321471099323527,0.0099812160752735,0.010788302426342641,0.008777072044359426,0.014347680342668844,0.011980755805084672,
doc9,0.010099179956944518,0.006041023994102839,0.00564764579466223,0.005750043802503606,0.0052707859266937825,0.005660266617974203,0.007241479424561816,0.011775182536690973,0.0,0.009051587975550009,0.007134857804247474,0.007210418091613255,0.006401595939412999,0.008462052793197106,0.00561320097897717,0.007490758547555291,7.206518754519332E-4,0.006448966465968997,0.012045890600498927,0.00983921344012653,
doc10,0.009609497875084796,0.005523746262754643,0.004703736070847795,0.004366148999861659,0.004326644028571425,0.00476044521968396,0.006749936254782662,0.01132375801037055,0.009051587975550009,0.0,0.006044513795137659,0.0063101783250912105,0.005560669072757452,0.0077659502761538496,0.004800821934113156,0.006924352442876818,0.007927635971214047,0.005731398698761014,0.011362161571118457,0.009082631754521597,
doc11,0.007764351254997233,0.0038734940257580683,0.0030932694955705547,0.0029389291811054694,0.0026491820410030112,0.003146426138146929,0.004921274887909132,0.00908597129144019,0.007134857804247474,0.006044513795137659,0.0,0.00449952239277742,0.0038665064627099676,0.0060399811514345965,0.0031535719919958643,0.0049359342773196355,0.006052245666031965,0.0038531663993110277,0.009329277563448292,0.005307966116133968,
doc12,0.007816160386692698,0.0038161296620611573,0.0028428352312093795,0.0029758678185008002,0.0021878246610280063,0.0029347745412448304,0.005070888580250973,0.009492099918892995,0.007210418091613255,0.0063101783250912105,0.00449952239277742,0.0,0.003803676445117379,0.0060115247644966854,0.003116392915425964,0.004770170576313037,0.006086601216748268,0.0039341385049676955,0.009495686893660068,0.007072829575227732,
