 ,doc1,doc2,doc3,doc4,doc5,doc6,doc7,doc8,doc9,doc10,doc11,doc12,doc13,doc14,doc15,doc16,doc17,doc18,doc19,doc20,
doc1,0.0,0.6564672925133392,0.5926880920914668,0.6728802970624393,0.5445228038611835,0.5664751352590173,0.685681157585651,0.860471538920071,0.831912221777163,0.7748621922826332,0.8891730298384415,0.632672318142487,0.6652046299831421,0.6061222552509928,0.601170765548793,0.8066085078874622,0.8078796669752542,0.829533513236796,0.8310577830278072,0.876570669386415,
doc2,0.6564672925133392,0.0,0.5866888154161665,0.5990935410977628,0.48813490540735566,0.5316589534950401,0.7995190244746787,0.6850133180890128,0.7476541488286903,0.6968548433955635,0.8332575472484812,0.5802692222679289,0.651167932265192,0.524192544571427,0.5755001561224588,0.7444327654761467,0.7154075917058133,0.7652373488455194,0.7637256451462293,0.819399358993495,
doc3,0.5926880920914668,0.5866888154161665,0.0,0.5769750195161714,0.41336702206240333,0.37407069137195503,0.7446336495518714,0.7548376370851364,0.7462805411737681,0.672762418611106,0.7966785761444779,0.5255107747614632,0.5822284513286627,0.5540867303976627,0.5070613035885968,0.7142858083852268,0.7253723996514483,0.7290137072868106,0.7294475020694585,0.7962709700490379,
doc4,0.6728802970624393,0.5990935410977628,0.5769750195161714,0.0,0.4539947014669181,0.526615941002522,0.7612858440355672,0.7695269933958735,0.7727824412799871,0.523124823878397,0.7720047292390357,0.5357812962584895,0.6004240289826932,0.5608347493975453,0.44902248868799466,0.7280445094206308,0.7490541030495943,0.708645617680513,0.7186752253290308,0.7750012053621569,
doc5,0.5445228038611835,0.48813490540735566,0.41336702206240333,0.4539947014669181,0.0,0.3712710817257215,0.6676076756348124,0.6730696361846067,0.6468819175042512,0.5507613924404856,0.6760574468361557,0.2679271426753638,0.5054414567576786,0.4545034469525964,0.41251385321338613,0.6018914220516502,0.6369524421133729,0.6342691763801447,0.6095083404084138,0.6436424428764036,
doc6,0.5664751352590173,0.5316589534950401,0.37407069137195503,0.526615941002522,0.3712710817257215,0.0,0.7367402400254243,0.7066742588581183,0.7084619569795267,0.6368924260522435,0.7680182333894942,0.48895885946998713,0.5208224095929014,0.5068448058447645,0.46220837895269934,0.6831758558347388,0.6937008058228714,0.6951370822090074,0.6907384659522413,0.7608511735253062,
doc7,0.685681157585651,0.7995190244746787,0.7446336495518714,0.7612858440355672,0.6676076756348124,0.7367402400254243,0.0,0.9703189412297184,0.902267353848277,0.8682183694879869,0.98960955443227,0.7390772152997349,0.8184939806234721,0.7855802666614108,0.7466977812785,0.8736272093246416,0.8826520980784456,0.9012071485396895,0.9165038644520264,0.9667988625388965,
doc8,0.860471538920071,0.6850133180890128,0.7548376370851364,0.7695269933958735,0.6730696361846067,0.7066742588581183,0.9703189412297184,0.0,0.9231036708542747,0.8773428861074398,0.9651286240266443,0.7587378057622021,0.7996717543750183,0.7476341882167906,0.7035540070683396,0.9129332406206081,0.9274130502081601,0.9195625316185837,0.9018807733940055,0.9807993340364142,
doc9,0.831912221777163,0.7476541488286903,0.7462805411737681,0.7727824412799871,0.6468819175042512,0.7084619569795267,0.902267353848277,0.9231036708542747,0.0,0.8626367633506429,0.9316844392374461,0.7169998420964329,0.8027475298858792,0.760172479714284,0.7277678364173373,0.8650251277587114,0.20802126138182883,0.8665182513939163,0.842571414256989,0.9335033488076288,
doc10,0.7748621922826332,0.6968548433955635,0.672762418611106,0.523124823878397,0.5507613924404856,0.6368924260522435,0.8682183694879869,0.8773428861074398,0.8626367633506429,0.0,0.8477388850323836,0.6295691657691185,0.7116793306638932,0.6626182804821111,0.5747892952837872,0.8131230239460839,0.8479957160897896,0.815190732133901,0.8202335432392065,0.8835052336789027,
doc11,0.8891730298384415,0.8332575472484812,0.7966785761444779,0.7720047292390357,0.6760574468361557,0.7680182333894942,0.98960955443227,0.9651286240266443,0.9316844392374461,0.8477388850323836,0.0,0.7533222980753034,0.857378912856638,0.8145769885711333,0.7631627273646385,0.8834288303983736,0.921088050880245,0.8735477413683648,0.8815894849839461,0.846766514126042,
doc12,0.632672318142487,0.5802692222679289,0.5255107747614632,0.5357812962584895,0.2679271426753638,0.48895885946998713,0.7390772152997349,0.7587378057622021,0.7169998420964329,0.6295691657691185,0.7533222980753034,0.0,0.5937326438202813,0.5522738474498968,0.5111971893506526,0.6732949014079835,0.7015954004645357,0.6989300608598904,0.6794992334371691,0.713369226865966,
doc13,0.6652046299831421,0.651167932265192,0.5822284513286627,0.6004240289826932,0.5054414567576786,0.5208224095929014,0.8184939806234721,0.7996717543750183,0.8027475298858792,0.7116793306638932,0.857378912856638,0.5937326438202813,0.0,0.5797782373531136,0.5431284835912854,0.7794162569432755,0.7802588059479579,0.760693582008822,0.7846759048446292,0.8479468404775915,
doc14,0.6061222552509928,0.524192544571427,0.5540867303976627,0.5608347493975453,0.4545034469525964,0.5068448058447645,0.7855802666614108,0.7476341882167906,0.760172479714284,0.6626182804821111,0.8145769885711333,0.5522738474498968,0.5797782373531136,0.0,0.4793526141262439,0.7353606853174613,0.7422808830663771,0.723494305689722,0.7387588899736093,0.8070803627935565,
doc15,0.601170765548793,0.5755001561224588,0.5070613035885968,0.44902248868799466,0.41251385321338613,0.46220837895269934,0.7466977812785,0.7035540070683396,0.7277678364173373,0.5747892952837872,0.7631627273646385,0.5111971893506526,0.5431284835912854,0.4793526141262439,0.0,0.6667895479770354,0.7155712915069062,0.6998880765248753,0.700481898419254,0.7687772865886698,
doc16,0.8066085078874622,0.7444327654761467,0.7142858083852268,0.7280445094206308,0.6018914220516502,0.6831758558347388,0.8736272093246416,0.9129332406206081,0.8650251277587114,0.8131230239460839,0.8834288303983736,0.6732949014079835,0.7794162569432755,0.7353606853174613,0.6667895479770354,0.0,0.8526094936727386,0.8407576819965679,0.8272578001865081,0.9034163278866005,
doc17,0.8078796669752542,0.7154075917058133,0.7253723996514483,0.7490541030495943,0.6369524421133729,0.6937008058228714,0.8826520980784456,0.9274130502081601,0.20802126138182883,0.8479957160897896,0.921088050880245,0.7015954004645357,0.7802588059479579,0.7422808830663771,0.7155712915069062,0.8526094936727386,0.0,0.8487241618291093,0.8317506687860452,0.9177524845282364,
doc18,0.829533513236796,0.7652373488455194,0.7290137072868106,0.708645617680513,0.6342691763801447,0.6951370822090074,0.9012071485396895,0.9195625316185837,0.8665182513939163,0.815190732133901,0.8735477413683648,0.6989300608598904,0.760693582008822,0.723494305689722,0.6998880765248753,0.8407576819965679,0.8487241618291093,0.0,0.8233197298627635,0.8910629190530713,
doc19,0.8310577830278072,0.7637256451462293,0.7294475020694585,0.7186752253290308,0.6095083404084138,0.6907384659522413,0.9165038644520264,0.9018807733940055,0.842571414256989,0.8202335432392065,0.8815894849839461,0.6794992334371691,0.7846759048446292,0.7387588899736093,0.700481898419254,0.8272578001865081,0.8317506687860452,0.8233197298627635,0.0,0.8322573959815144,
doc20,0.876570669386415,0.819399358993495,0.7962709700490379,0.7750012053621569,0.6436424428764036,0.7608511735253062,0.9667988625388965,0.9807993340364142,0.9335033488076288,0.8835052336789027,0.846766514126042,0.713369226865966,0.8479468404775915,0.8070803627935565,0.7687772865886698,0.9034163278866005,0.9177524845282364,0.8910629190530713,0.8322573959815144,0.0,
