 ,doc1,doc2,doc3,doc4,doc5,doc6,doc7,doc8,doc9,doc10,doc11,doc12,doc13,doc14,doc15,doc16,doc17,doc18,doc19,doc20,
doc1,0.9999999999999999,0.05881460687104089,0.09087189801075965,0.03525549335811479,0.05267327762527827,0.05477898470227127,0.23549621295965228,0.02718710749869713,0.05006930862419585,0.015268779935137766,0.041555789766491005,0.006276770129559766,0.04448391623719279,0.045905569389049376,0.04445398393270838,0.03494310609389778,0.06075076226362565,0.031402573602538716,0.011065121973326023,0.04181812373299466,
doc2,0.05881460687104089,1.0000000000000002,0.16522716140672014,0.1110782315345415,0.15875907910515086,0.1631858061565777,0.0787742495031457,0.08906681233995085,0.11344333188034648,0.057247540114917124,0.06470011737250167,0.013687048126028245,0.05747157473118806,0.16814993794054411,0.05067268655850151,0.055722700426076896,0.14145495609348732,0.0654374748739964,0.019631185055862473,0.0466579581295514,
doc3,0.09087189801075965,0.16522716140672014,1.0000000000000002,0.13589407724484082,0.4325301488963591,0.5283575969649368,0.11503052443895351,0.07289335241685373,0.039111620748739855,0.08316567671544466,0.06551779444431886,0.01598949253611699,0.09804720489780497,0.0714256778133559,0.11804697596111777,0.06720909536632456,0.0507372391198518,0.08922433655779552,0.02075462994108809,0.0630546785130708,
doc4,0.03525549335811479,0.1110782315345415,0.13589407724484082,0.9999999999999999,0.16047431867860318,0.14063755280422685,0.08709463013534299,0.03600948746195655,0.019004393471137606,0.1927386327039347,0.12796731659567917,0.02110418133856861,0.08386540050279788,0.06008890267545535,0.17678503728681488,0.040332212117957046,0.025379082115959163,0.06873257423417216,0.021819993553985395,0.047659980505187056,
doc5,0.05267327762527827,0.15875907910515086,0.4325301488963591,0.16047431867860318,0.9999999999999999,0.3290783795195437,0.06036690829309718,0.03510310396333385,0.03961264950138719,0.08875014771511404,0.09830675821433617,0.017500937012462733,0.08517869552861149,0.06775057804284768,0.12341164190957839,0.09261245412075925,0.04076180008046216,0.04658426742483278,0.027764189458094155,0.10720760566541415,
doc6,0.05477898470227127,0.1631858061565777,0.5283575969649368,0.14063755280422685,0.3290783795195437,0.9999999999999999,0.057448386921451794,0.08836458813592872,0.037745894592900356,0.0689636680380129,0.04753933611709023,0.011131664242267074,0.20307862503649554,0.07819805221246742,0.11319730668307303,0.05434971247441983,0.04608859784144328,0.08913073197544986,0.03155390324779154,0.04697374106040099,
doc7,0.23549621295965228,0.0787742495031457,0.11503052443895351,0.08709463013534299,0.06036690829309718,0.057448386921451794,1.0,0.09119007303463046,0.08325460077581492,0.03486095582196108,0.07585640241755084,0.010481141840597275,0.06809382199600417,0.060018852926559355,0.05421495932711721,0.12295919633910159,0.08194462568092697,0.09204439173361964,0.01824652266862093,0.0533108724309122,
doc8,0.02718710749869713,0.08906681233995085,0.07289335241685373,0.03600948746195655,0.03510310396333385,0.08836458813592872,0.09119007303463046,1.0000000000000002,0.04577804304365936,0.012265719330327314,0.06360514262345386,0.006404549840868992,0.09246164030105565,0.04269635191153932,0.17297326227288023,0.021668292312606318,0.03930471585825523,0.037854705982272814,0.013170048917275655,0.03117996996942933,
doc9,0.05006930862419585,0.11344333188034648,0.039111620748739855,0.019004393471137606,0.03961264950138719,0.037745894592900356,0.08325460077581492,0.04577804304365936,1.0,0.009764245002838547,0.04833000755810801,0.01057056215664392,0.036411100210632485,0.04671506861203281,0.06339226162297443,0.04867301645223377,0.9312580179873576,0.05428256542367752,0.017186952375806936,0.021223648311125554,
doc10,0.015268779935137766,0.057247540114917124,0.08316567671544466,0.1927386327039347,0.08875014771511404,0.0689636680380129,0.03486095582196108,0.012265719330327314,0.009764245002838547,1.0000000000000002,0.09204808887872645,0.007044090660626433,0.03420226199922138,0.02745131926080989,0.061636057832535986,0.01733280952079044,0.012321753916696694,0.035102740585841126,0.004936148714677073,0.016722922577963907,
