 ,doc1,doc2,doc3,doc4,doc5,doc6,doc7,doc8,doc9,doc10,doc11,doc12,doc13,doc14,doc15,doc16,doc17,doc18,doc19,doc20,
doc1,0.0,0.0824333392993443,0.07773519332011254,0.07838975702828353,0.07655873147001306,0.07868544290697242,0.08024444210831573,0.11035465411821155,0.0997032076934896,0.09740118194242327,0.08686184408717446,0.1757233687926185,0.08281518889270811,0.08801944176533916,0.07913066975686946,0.09012766034424893,0.0940752004395222,0.08421323491730896,0.11226401487163376,0.09938406042235101,
doc2,0.0824333392993443,0.0,0.04543470016434648,0.04536570063642337,0.04204328068349457,0.04537940872816022,0.06283135955667644,0.08908036556710734,0.07643140392705947,0.07315006126990886,0.06003486532796585,0.16390003854839122,0.054300831055286984,0.05856028985854494,0.048457229863500775,0.06460279485711577,0.06873379319978877,0.05549065908880937,0.09284133162474194,0.07784752612301081,
doc3,0.07773519332011254,0.04543470016434648,0.0,0.03713928091838287,0.028078706401041438,0.02865364429461333,0.056740018376693825,0.08640355920111016,0.07490350722508064,0.06802443187717418,0.05444917321727567,0.16182127261636184,0.04690621322885762,0.05646362332258281,0.039497582822649605,0.05914182925588788,0.06734263692861404,0.04874576154918728,0.0891516609861327,0.07320383061167156,
doc4,0.07838975702828353,0.04536570063642337,0.03713928091838287,0.0,0.03155969804405024,0.036889319037147754,0.05632407574113979,0.08663818920416748,0.07445130131761331,0.0642207366594769,0.051617155558243706,0.1612401351139703,0.045754893038672265,0.0555022140111098,0.03643468994521643,0.05861911180336024,0.06692276314954132,0.04779257092105512,0.0882877831841686,0.07267501957423457,
doc5,0.07655873147001306,0.04204328068349457,0.028078706401041438,0.03155969804405024,0.0,0.03017656832636446,0.054993921017434076,0.08535544063485911,0.0723836417294137,0.06545167216869573,0.05033975743496463,0.16063346956912927,0.04325055431914757,0.053293922095737765,0.034587770759488844,0.05552985569106076,0.06479686765087947,0.04580548080721066,0.08681583637687014,0.06988833845744383,
doc6,0.07868544290697242,0.04537940872816022,0.02865364429461333,0.036889319037147754,0.03017656832636446,0.0,0.0581823312714216,0.08590554758347627,0.07486479271532598,0.06833910066726234,0.05480741885821857,0.1619265244304625,0.04411319692524006,0.056187943502790466,0.03946512020601883,0.05938802020297387,0.06738497486115011,0.04863508496841768,0.08878290543119818,0.07357412657039197,
doc7,0.08024444210831573,0.06283135955667644,0.056740018376693825,0.05632407574113979,0.054993921017434076,0.0581823312714216,0.0,0.09410505590261524,0.08359077491764198,0.08081029458996375,0.06777839696141612,0.16728222349083918,0.06300907458655017,0.07005213870049519,0.05848505684318947,0.06963998180727922,0.07754650423457497,0.06339340302682053,0.09854658446314864,0.08399120642945829,
doc8,0.11035465411821155,0.08908036556710734,0.08640355920111016,0.08663818920416748,0.08535544063485911,0.08590554758347627,0.09410505590261524,0.0,0.1063515143931506,0.10432162698824579,0.09336054752772838,0.17955195330794466,0.0888463861964529,0.09547297807393866,0.08354373888634822,0.09792539928209758,0.1019170677395535,0.09168220757583798,0.11806018164203548,0.1064427709714327,
doc9,0.0997032076934896,0.07643140392705947,0.07490350722508064,0.07445130131761331,0.0723836417294137,0.07486479271532598,0.08359077491764198,0.1063515143931506,0.0,0.09419902030408496,0.08274358278954992,0.17355240900930588,0.07904086954296963,0.08421085592982983,0.07431787946063911,0.08582725999038958,0.02568918973820224,0.07936964276625474,0.10893878018052655,0.09711154748054254,
doc10,0.09740118194242327,0.07315006126990886,0.06802443187717418,0.0642207366594769,0.06545167216869573,0.06833910066726234,0.08081029458996375,0.10432162698824579,0.09419902030408496,0.0,0.0760137422322685,0.1714113983673346,0.07379092823967266,0.08007970655996564,0.06871744574591672,0.08234035309456166,0.08838487206882241,0.07481717565656068,0.10576762166915302,0.09304318790471791,
doc11,0.08686184408717446,0.06003486532796585,0.05444917321727567,0.051617155558243706,0.05033975743496463,0.05480741885821857,0.06777839696141612,0.09336054752772838,0.08274358278954992,0.0760137422322685,0.0,0.165404647279311,0.06042191547543025,0.0678473474597123,0.054794860444810585,0.06856658378405463,0.07644830965950011,0.06005573576072168,0.09523658538853677,0.07075516496844389,
doc12,0.1757233687926185,0.16390003854839122,0.16182127261636184,0.1612401351139703,0.16063346956912927,0.1619265244304625,0.16728222349083918,0.17955195330794466,0.17355240900930588,0.1714113983673346,0.165404647279311,0.0,0.16362632295911578,0.16650465480870497,0.16180231824430447,0.16768179235827235,0.17056210977641775,0.16425706389251554,0.1791351945733733,0.16937611957861406,
doc13,0.08281518889270811,0.054300831055286984,0.04690621322885762,0.045754893038672265,0.04325055431914757,0.04411319692524006,0.06300907458655017,0.0888463861964529,0.07904086954296963,0.07379092823967266,0.06042191547543025,0.16362632295911578,0.0,0.061880154815548816,0.04739588850168351,0.06515437209854967,0.07190126057677602,0.05525170144920617,0.09293970484387049,0.07809793615673037,
doc14,0.08801944176533916,0.05856028985854494,0.05646362332258281,0.0555022140111098,0.053293922095737765,0.056187943502790466,0.07005213870049519,0.09547297807393866,0.08421085592982983,0.08007970655996564,0.0678473474597123,0.16650465480870497,0.061880154815548816,0.0,0.05671551567422011,0.0718552352329855,0.07767692251440993,0.06347872681596878,0.09782710265177465,0.08405995327111365,
doc15,0.07913066975686946,0.048457229863500775,0.039497582822649605,0.03643468994521643,0.034587770759488844,0.03946512020601883,0.05848505684318947,0.08354373888634822,0.07431787946063911,0.06871744574591672,0.054794860444810585,0.16180231824430447,0.04739588850168351,0.05671551567422011,0.0,0.05881834734725102,0.06701855361830525,0.05001438772829007,0.08943222911651001,0.07439253910493111,
doc16,0.09012766034424893,0.06460279485711577,0.05914182925588788,0.05861911180336024,0.05552985569106076,0.05938802020297387,0.06963998180727922,0.09792539928209758,0.08582725999038958,0.08234035309456166,0.06856658378405463,0.16768179235827235,0.06515437209854967,0.0718552352329855,0.05881834734725102,0.0,0.07976899112966321,0.06601112898881824,0.09872363772626112,0.08556393815310535,
doc17,0.0940752004395222,0.06873379319978877,0.06734263692861404,0.06692276314954132,0.06479686765087947,0.06738497486115011,0.07754650423457497,0.1019170677395535,0.02568918973820224,0.08838487206882241,0.07644830965950011,0.17056210977641775,0.07190126057677602,0.07767692251440993,0.06701855361830525,0.07976899112966321,0.0,0.07265935626963818,0.10396178017595288,0.09162886436733468,
doc18,0.08421323491730896,0.05549065908880937,0.04874576154918728,0.04779257092105512,0.04580548080721066,0.04863508496841768,0.06339340302682053,0.09168220757583798,0.07936964276625474,0.07481717565656068,0.06005573576072168,0.16425706389251554,0.05525170144920617,0.06347872681596878,0.05001438772829007,0.06601112898881824,0.07265935626963818,0.0,0.09305778643847952,0.07810718629838255,
doc19,0.11226401487163376,0.09284133162474194,0.0891516609861327,0.0882877831841686,0.08681583637687014,0.08878290543119818,0.09854658446314864,0.11806018164203548,0.10893878018052655,0.10576762166915302,0.09523658538853677,0.1791351945733733,0.09293970484387049,0.09782710265177465,0.08943222911651001,0.09872363772626112,0.10396178017595288,0.09305778643847952,0.0,0.1066975416124137,
doc20,0.09938406042235101,0.07784752612301081,0.07320383061167156,0.07267501957423457,0.06988833845744383,0.07357412657039197,0.08399120642945829,0.1064427709714327,0.09711154748054254,0.09304318790471791,0.07075516496844389,0.16937611957861406,0.07809793615673037,0.08405995327111365,0.07439253910493111,0.08556393815310535,0.09162886436733468,0.07810718629838255,0.1066975416124137,0.0,
